index,text,score,correct spelling,percent,novel word count
0,"here may be one.'

'one, indeed!' said the dormouse indignantly. however, he consented to
go on. 'an",1,17,1.0,1
1000,d the murt oay it would be a great hatd and the pueen some of the doors! and weat it the door the ha,0,19,0.79,2
1,"t seem to have any rules in particular;
at least, if there are, nobody attends to them--and you've n",1,18,0.95,2
1001,"ake the dance?
    'he you dan done the mort of the serter of the serters.

                        ",0,13,0.87,3
2,"tle sister of hers
would, in the after-time, be herself a grown woman; and how she would
keep, throu",1,18,0.95,1
1002,"gh the cook the was soeezing on the thme the doom the was soeezing on the time, 
'i don't know what ",0,17,0.81,2
3,"he terms of the full project
gutenberg-tm license (available with this file or online at
http://gute",1,14,0.88,1
1003,"nberg.org/




                                                                                     ",0,0,0.0,0
4," have been changed for any of them.

'i'm sure i'm not ada,' she said, 'for her hair goes in such lo",1,21,1.0,4
1004,"ng things of the simg,' 
'i don't know what i have to be a little birler,' she said to herself, 'i d",0,21,0.95,6
5,"ery
moment to be trampled under its feet, ran round the thistle again; then
the puppy began a series",1,18,0.95,0
1005," of the sabbit-s very eood opooee of the sobten of the table, but she said the pueen say of the word",0,16,0.76,0
6,"ave of hearts, who only bowed and smiled in reply.

'idiot!' said the queen, tossing her head impati",1,17,0.94,3
1006,"ently, and she was going to see if the mock turtle sas down and said, 'i don't know what i can teil ",0,20,0.91,5
7,"
501(c)(3) educational corporation organized under the laws of the
state of mississippi and granted ",1,13,0.93,1
1007,with the project gutenberg literary archive foundation are all dopyright in the united states.      ,0,12,0.86,5
8,"ter all: it's a set of verses.'

'are they in the prisoner's handwriting?' asked another of the jury",1,18,1.0,1
1008,". 
'i don't know what i have to be a little birler,' the march hare interrupted to alice. 
'it was t",0,20,0.95,7
9," he says it's so useful, it's worth a hundred pounds! he
says it kills all the rats and--oh dear!' c",1,19,0.95,0
1009,ried the mock turtle at she sepeated to the tort of the way of the words was she was soeezing on the,0,19,0.86,3
10,"judging by his face only, she would have called him a
fish)--and rapped loudly at the door with his ",1,18,0.95,0
1010,"head for a little thing in her head a little sartering, and she was going to see if he was seel a lo",0,22,0.96,2
11,"ngs!' alice began in a loud, indignant voice, but she stopped
hastily, for the white rabbit cried ou",1,16,0.89,1
1011,"t again. 
'i don't know what i have to be a little birler,' she said to herself, 'i don't know what ",0,21,1.0,5
12,"iles down, i think--' (for, you see, alice had learnt several
things of this sort in her lessons in ",1,18,0.95,2
1012,"the door, and the white rabbit blowered to say the table to the was sootling to see if he was seel a",0,20,0.91,1
13,"ded!' said alice, and she put them into a large
flower-pot that stood near. the three soldiers wande",1,16,0.89,1
1013,"red to say it off the harden, the dorrou of the was sole minutes in the door, and the white rabbit b",0,21,0.95,2
14,"t seems to be a
letter, written by the prisoner to--to somebody.'

'it must have been that,' said th",1,19,1.0,2
1014,"e mock turtle, 
'i dan't ree whth another mine the dance?                                           ",0,9,0.82,5
15,"
'not a bit,' said the caterpillar.

'well, perhaps your feelings may be different,' said alice; 'al",1,16,1.0,2
1015,"d what i make mur messers '

'i don't know what i have to be a little birler,' she said to herself, ",0,19,0.86,5
16,"y
as if nothing had happened.

'how am i to get in?' asked alice again, in a louder tone.

'are you ",1,21,1.0,3
1016,"don't know what i have to be a little birler,' the mock turtle seplied in an offended tone, and she ",0,19,0.95,4
17,"t it was only a mouse that had
slipped in like herself.

'would it be of any use, now,' thought alic",1,20,0.95,1
1017,"e, 'i don't know the might way to suint in the doorsatoon of the semper!'

'i don't know what i have",0,20,0.95,6
18,"owever, 'jury-men' would have done
just as well.

the twelve jurors were all writing very busily on ",1,16,0.94,0
